[aist#0:0/pcm_s16le @ 0000020d101f3c00] Guessed Channel Layout: mono
Input #0, wav, from 'C:\Users\Administrator\Desktop\hackerton\happycall-ralphthon\.local\pc2-n02-m2-pause-v1-recheck\CASE-0002-units-B-pause020.wav':
  Duration: 00:00:17.90, bitrate: 384 kb/s
  Stream #0:0: Audio: pcm_s16le ([1][0][0][0] / 0x0001), 24000 Hz, mono, s16, 384 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (pcm_s16le (native) -> pcm_s16le (native))
[Parsed_ebur128_0 @ 0000020d101f5940] t: 0.0999583  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -inf dBFS  TPK:  -inf dBFS
Output #0, null, to 'pipe:':
  Metadata:
    encoder         : Lavf61.7.100
  Stream #0:0: Audio: pcm_s16le, 24000 Hz, mono, s16, 384 kb/s
      Metadata:
        encoder         : Lavc61.19.100 pcm_s16le
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.599958   TARGET:-23 LUFS    M: -16.8 S: -19.0     I: -18.3 LUFS       LRA:   4.8 LU  FTPK:  -3.3 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.699958   TARGET:-23 LUFS    M: -16.7 S: -19.0     I: -18.3 LUFS       LRA:   4.8 LU  FTPK: -12.0 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.799958   TARGET:-23 LUFS    M: -17.8 S: -19.4     I: -18.3 LUFS       LRA:   4.8 LU  FTPK: -42.2 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.899958   TARGET:-23 LUFS    M: -19.2 S: -19.6     I: -18.3 LUFS       LRA:   4.8 LU  FTPK: -12.5 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 9.999958   TARGET:-23 LUFS    M: -24.1 S: -19.6     I: -18.3 LUFS       LRA:   4.8 LU  FTPK:  -6.3 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 10.099958  TARGET:-23 LUFS    M: -20.1 S: -19.5     I: -18.3 LUFS       LRA:   4.8 LU  FTPK:  -4.6 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 10.199958  TARGET:-23 LUFS    M: -17.3 S: -19.3     I: -18.3 LUFS       LRA:   4.8 LU  FTPK:  -5.1 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 10.299958  TARGET:-23 LUFS    M: -17.2 S: -19.5     I: -18.3 LUFS       LRA:   4.8 LU  FTPK: -10.4 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 10.399958  TARGET:-23 LUFS    M: -17.3 S: -19.8     I: -18.3 LUFS       LRA:   4.8 LU  FTPK:  -5.3 dBFS  TPK:  -2.4 dBFS
[Parsed_ebur128_0 @ 0000020d101f5940] t: 10.499958  TARGET:-23 LUFS    M: -17.7 S: -19.6     I: -18.3 LUFS       LRA:   4.8 LU  FTPK:  -4.0 dBFS  TPK:  -2.4 dBFS
